PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
37.25,83.81,19,3.28,47.59,1.06,4.34,82
58.41,131.43,22.74,3.12,49.28,2.59,4.81,104
47.94,108.62,20.78,3.29,50.21,1.92,4.5,120
31.19,77.97,16.86,2.83,51.35,1.66,4.61,94
26.32,65.81,13.52,2.79,38.33,1.37,4.26,68
21.83,54.57,10.77,2.6,25.49,1.09,4.14,61
21.57,53.92,10.75,2.51,25.96,0.89,4.54,55
22.72,56.8,14.52,2.72,26.51,1.03,5.48,54
24.37,60.93,18.8,3.16,27.16,1.13,6.12,59
16.88,42.21,9.26,2.39,27.51,0.62,5.36,48
17.77,44.44,12.19,2.66,27.53,0.68,5.01,37
28.94,72.35,14.81,2.92,27.46,1.03,4.7,57
24.98,62.44,13.81,2.87,27.63,1,6,63
26.19,65.48,14.33,3.03,28.06,1.13,4.79,62
29.02,72.56,11.5,2.78,28.07,1,6.63,64
33.25,83.13,14.22,3.18,27.93,1.09,4.38,80
25.71,64.28,9.9,2.97,27.15,0.2,4.51,55
24.72,61.8,8.69,2.9,27.05,0.1,4.72,56
26.98,67.46,9.28,2.89,27.01,1.11,5.76,64
29.28,73.21,10.53,3.1,27.29,1.81,4.93,75
25.69,64.22,7.43,2.78,27.48,0.36,5.33,53
43.12,107.8,11.92,3.04,27.39,1.25,4.65,79
30.63,76.58,11.25,3.21,27.69,0.87,4.49,71
31.5,78.76,9.62,3.1,27.76,0.98,4.11,72
30.8,77,10.89,3.09,27.78,1.05,4.68,73
37.05,92.62,10.7,3.26,27.99,1.05,4.32,76
32.39,80.99,12.68,2.83,27.59,1.88,7.3,66
24.37,60.91,13.55,3.32,27.2,2.48,4.81,73
22.38,55.94,12.25,3.5,28.04,0.44,5.45,63
26.77,66.93,21.62,4.25,28.59,0.88,6.72,74
32.5,81.26,39.3,5.28,28.1,1.97,10.97,95
16.94,45.85,13.45,3.53,27.78,0.41,32.07,56
13.24,41.48,3.68,2.85,28.25,0.69,61.22,62
15.62,32.37,1.24,2.41,28.72,0.26,50.08,42
31.91,44.67,3.3,2.69,29.13,0.3,44.07,39
29.6,41.43,2.68,3.32,29.53,0.52,91.47,47
24.36,34.09,1.83,2.6,28.2,0.21,110.96,42
33.26,46.57,2.74,2.61,25.76,0.23,126.02,48
35.14,49.2,0.06,2.35,25.43,0.13,,48
47.74,66.84,21.77,3.58,25.47,0.6,,55
76.67,107.34,11.5,4.73,25.65,1.17,,139
71.21,101.37,10.75,5.17,26.3,1.54,,133
42.89,63.63,,3.22,28.01,1.7,6.82,117
18.36,36.72,,3.17,30.08,0.81,,42
14.76,29.53,0.92,2.56,30.63,0.69,9.31,32
26.01,52.03,4.47,3.52,37.38,0.98,16.84,33
19.47,38.93,4.89,2.84,45.66,0.79,23.13,41
18.16,36.31,,3.12,55.3,0.45,1.06,48
20.66,41.33,,3.51,57.98,0.56,0.65,48
16.89,33.78,,3.92,41.09,0.49,7.29,39
17.41,34.81,32.45,4.33,30.67,0.48,10.44,36
11.02,22.04,1.09,3.9,24.54,0.52,3.29,28
10.67,21.35,1.23,3.42,18.33,0.35,3.56,22
15.3,30.58,1.43,2.91,18.3,0.45,4.62,26
17.83,35.67,1.55,3.47,18.03,0.72,4.13,34
20.93,41.86,1.71,3.18,17.36,0.87,4.45,32
26.16,52.32,1.27,3.26,17.4,1.42,4.25,46
21.63,43.25,1.24,3.19,17.75,0.89,2.14,48
9.97,19.94,1.23,2.49,17.69,0.16,6.32,22
11.7,23.4,1.13,2.55,30.46,0.17,8.46,28
15.48,30.82,1.36,3.28,35.29,0.43,9.97,34
18.4,36.8,1.13,3.46,38.87,0.63,2.47,40
7.61,15.22,1.11,2.84,36.72,0.12,1.12,56
10.02,20.04,1.06,2.54,36.45,0.08,3.23,29
8.75,17.51,1.13,2.45,35.2,0.03,6.39,23
12.16,24.33,1.11,2.77,38.32,0.1,6.19,30
11.98,23.97,1.55,2.99,28.64,0.19,9.94,32
10.99,21.98,1.29,2.77,17.11,0.19,7.98,24
11.87,23.74,1.27,2.64,17.7,0.19,9.72,24
14.86,29.71,1.49,3.2,17.46,0.48,8.94,30
16.76,33.53,1.64,3.85,17.44,0.74,10.27,36
16.45,32.9,2.66,2.74,22.88,0.4,6.99,39
16.27,32.52,1.07,3.1,41.1,0.47,3.3,38
18.75,37.48,1.07,3.49,46.1,0.69,2.85,41
18.96,37.98,1.22,3.72,30.9,0.69,3.57,44
15.79,31.57,1.24,3.45,21,0.4,2.82,35
18.65,37.29,1.05,3.07,39.76,0.39,4.01,38
