PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),AQI
37.25,83.81,4.75,19,24.98,3.28,47.59,1.06,4.34,0.21,82
58.41,131.43,25.83,22.74,59.23,3.12,49.28,2.59,4.81,0.52,104
47.94,108.62,12.6,20.78,38.11,3.29,50.21,1.92,4.5,0.38,120
31.19,77.97,14.53,16.86,37.19,2.83,51.35,1.66,4.61,0.33,94
26.32,65.81,7.96,13.52,24.44,2.79,38.33,1.37,4.26,0.27,68
21.83,54.57,4.37,10.77,16.6,2.6,25.49,1.09,4.14,0.22,61
21.57,53.92,2.95,10.75,14.51,2.51,25.96,0.89,4.54,0.18,55
22.72,56.8,7.23,14.52,24.33,2.72,26.51,1.03,5.48,0.2,54
24.37,60.93,4.67,18.8,24.67,3.16,27.16,1.13,6.12,0.23,59
16.88,42.21,1.79,9.26,11.41,2.39,27.51,0.62,5.36,0.12,48
17.77,44.44,2.38,12.19,15.05,2.66,27.53,0.68,5.01,0.14,37
28.94,72.35,1.97,14.81,16.95,2.92,27.46,1.03,4.7,0.21,57
24.98,62.44,2.22,13.81,16.35,2.87,27.63,1,6,0.2,63
26.19,65.48,1.94,14.33,16.44,3.03,28.06,1.13,4.79,0.22,62
29.02,72.56,2.13,11.5,14.03,2.78,28.07,1,6.63,0.2,64
33.25,83.13,2.12,14.22,16.61,3.18,27.93,1.09,4.38,0.22,80
25.71,64.28,2.6,9.9,13.18,2.97,27.15,0.2,4.51,0.04,55
24.72,61.8,2.02,8.69,11.19,2.9,27.05,0.1,4.72,0.02,56
26.98,67.46,1.79,9.28,11.06,2.89,27.01,1.11,5.76,0.22,64
29.28,73.21,2.18,10.53,12.91,3.1,27.29,1.81,4.93,0.36,75
25.69,64.22,3.67,7.43,12.4,2.78,27.48,0.36,5.33,0.07,53
43.12,107.8,13.89,11.92,31.56,3.04,27.39,1.25,4.65,0.25,79
30.63,76.58,3.2,11.25,15.36,3.21,27.69,0.87,4.49,0.17,71
31.5,78.76,3.05,9.62,13.58,3.1,27.76,0.98,4.11,0.2,72
30.8,77,6.81,10.89,20.06,3.09,27.78,1.05,4.68,0.21,73
37.05,92.62,4.43,10.7,16.62,3.26,27.99,1.05,4.32,0.21,76
32.39,80.99,30.21,12.68,56.05,2.83,27.59,1.88,7.3,0.44,66
24.37,60.91,9.42,13.55,26.6,3.32,27.2,2.48,4.81,0.35,73
22.38,55.94,3.27,12.25,16.18,3.5,28.04,0.44,5.45,0.16,63
26.77,66.93,6.98,21.62,30.71,4.25,28.59,0.88,6.72,0.18,74
32.5,81.26,31.67,39.3,83.48,5.28,28.1,1.97,10.97,0.39,95
16.94,45.85,1.59,13.45,14.53,3.53,27.78,0.41,32.07,0.08,56
13.24,41.48,2.34,3.68,6.12,2.85,28.25,0.69,61.22,0.14,62
15.62,32.37,2.22,1.24,2.6,2.41,28.72,0.26,50.08,0.05,42
31.91,44.67,1.9,3.3,3.69,2.69,29.13,0.3,44.07,0.06,39
29.6,41.43,2.05,2.68,4.19,3.32,29.53,0.52,91.47,0.1,47
24.36,34.09,2.24,1.83,0.54,2.6,28.2,0.21,110.96,0.04,42
33.26,46.57,2.11,2.74,0.44,2.61,25.76,0.23,126.02,0.04,48
35.14,49.2,1.9,0.06,0.07,2.35,25.43,0.13,,0.03,48
47.74,66.84,1.54,21.77,0.94,3.58,25.47,0.6,,0.12,55
76.67,107.34,1.46,11.5,3.34,4.73,25.65,1.17,,0.23,139
71.21,101.37,1.82,10.75,2.24,5.17,26.3,1.54,,0.31,133
42.89,63.63,2.17,,0.24,3.22,28.01,1.7,6.82,0.34,117
18.36,36.72,1.94,,0,3.17,30.08,0.81,,0.16,42
14.76,29.53,2.29,0.92,0.27,2.56,30.63,0.69,9.31,0.14,32
26.01,52.03,1.92,4.47,0.01,3.52,37.38,0.98,16.84,0.2,33
19.47,38.93,2.09,4.89,0.6,2.84,45.66,0.79,23.13,0.16,41
18.16,36.31,1.74,,0,3.12,55.3,0.45,1.06,0.09,48
20.66,41.33,1.77,,0,3.51,57.98,0.56,0.65,0.11,48
16.89,33.78,1.86,,0,3.92,41.09,0.49,7.29,0.1,39
17.41,34.81,2.43,32.45,0.99,4.33,30.67,0.48,10.44,0.1,36
11.02,22.04,1.96,1.09,1.93,3.9,24.54,0.52,3.29,0.11,28
10.67,21.35,1.94,1.23,3.98,3.42,18.33,0.35,3.56,0.07,22
15.3,30.58,2.03,1.43,4.12,2.91,18.3,0.45,4.62,0.09,26
17.83,35.67,2.32,1.55,4.45,3.47,18.03,0.72,4.13,0.14,34
20.93,41.86,2.54,1.71,4.81,3.18,17.36,0.87,4.45,0.17,32
26.16,52.32,1.94,1.27,4.03,3.26,17.4,1.42,4.25,0.28,46
21.63,43.25,1.95,1.24,4.02,3.19,17.75,0.89,2.14,0.18,48
9.97,19.94,1.97,1.23,4.01,2.49,17.69,0.16,6.32,0.03,22
11.7,23.4,1.84,1.13,3.74,2.55,30.46,0.17,8.46,0.03,28
